chapter,difficulty,question,option_A,option_B,option_C,option_D,answer,explanation
3,easy,根據教材定義，堆疊（Stack）是一種遵循什麼原則的線性資料結構？,A. 先進先出（FIFO）,B. 後進先出（LIFO）,C. 隨機存取（Random Access）,D. 優先順序（Priority）,B,"""堆疊的核心運作原則就是「後進先出」（LIFO），這意味著最後被放進去的資料，會是第一個被拿出來的。"""
3,easy,教材中使用什麼生活範例來比喻堆疊的操作特性？,A. 一排排隊的人,B. 一疊煎餅,C. 一個環形跑道,D. 一個樹狀結構,B,"""堆疊的操作特性就像一疊煎餅，你只能將煎餅疊在最上面，也只能從最上面拿取，這生動地展示了後進先出的概念。"""
3,easy,在堆疊的基本操作中，「Push」代表什麼意思？,A. 移除並回傳堆疊頂端元素,B. 檢查堆疊是否為空,C. 將新元素加入堆疊頂端,D. 回傳堆疊頂端元素但不移除它,C,"""在堆疊的術語中，「Push」專指將一個新的元素「推入」或加入到堆疊的最頂端位置。"""
3,easy,若要「回傳堆疊頂端元素但不移除它」，應該使用哪一個操作？,A. Pop,B. Push,C. Size,D. Peek,D,"""「Peek」操作的作用就是讓我們偷看（Peek）一下堆疊頂端是什麼，但不會把它拿走（移除），這與會移除元素的 Pop 不同。"""
3,easy,關於「Pop」操作的描述，下列何者正確？,A. 僅回傳元素，不移除,B. 僅移除元素，不回傳,C. 移除並回傳堆疊頂端元素,D. 檢查堆疊大小,C,"""「Pop」操作是用來取資料的，它會將堆疊最頂端的元素拿出來（移除），同時將該元素的值回傳給呼叫者。"""
3,easy,使用 Python 列表（List）實作堆疊的主要優點是什麼？,A. 推入操作永遠是 O(1),B. 簡單易於理解與使用，不需額外模組,C. 需要額外空間存儲指標,D. 適合處理超大規模資料集,B,"""使用 Python 內建的列表來當作堆疊，最大的好處就是語法簡單、直覺，而且不需要另外匯入（import）任何模組就能直接使用。"""
3,easy,使用鏈結串列（Linked List）實作堆疊的主要優點之一是什麼？,A. 程式碼最簡單,B. 不需要額外記憶體空間,C. 堆疊大小可動態變化，不受限陣列大小,D. 支援隨機存取,C,"""鏈結串列是由節點一個接一個串起來的，記憶體配置是動態的，因此堆疊大小可以隨時變化，不會像傳統陣列那樣有固定容量的限制。"""
3,easy,下列哪項功能通常使用兩個堆疊來實作？,A. 瀏覽器歷史紀錄,B. Undo/Redo（撤銷/重做）功能,C. 函式呼叫堆疊,D. 表達式計算,B,"""Undo（撤銷）與 Redo（重做）通常需要兩個堆疊配合：一個存當下的操作紀錄，當使用者撤銷時，就將該紀錄移到另一個堆疊，以便之後可以隨時「重做」回來。"""
3,easy,在程式執行過程中，堆疊用於保存什麼狀態以確保函式正確返回？,A. 使用者輸入狀態,B. 網路連線狀態,C. 函式呼叫狀態,D. 檔案讀寫狀態,C,"""當程式執行函式呼叫時，電腦必須記住是從哪裡呼叫的，以便執行完後能跳回原處，這種用於暫存執行位置的結構就是「函式呼叫堆疊」。"""
3,easy,在教材的 Python 類別實作範例中，`isEmpty` 方法的主要用途是什麼？,A. 清空堆疊中的所有元素,B. 檢查堆疊是否已滿,C. 檢查堆疊是否為空,D. 增加堆疊的容量,C,"""`isEmpty` 的功能非常直觀，就是用來判斷堆疊裡面是不是沒有任何元素（空的），這通常在執行 Pop 前用來避免錯誤。"""
3,medium,在使用 Python 列表（List）實作堆疊時，下列哪個 Python 方法對應到堆疊的 `Push` 操作？,A. insert(),B. push(),C. add(),D. append(),D,"""Python 列表中的 `append()` 方法會將元素加到列表的尾端，若將列表尾端視為堆疊頂端，這正是 Push 的操作。"""
3,medium,根據教材，使用 Python 列表（List）實作堆疊的缺點是什麼？,A. 程式碼過於複雜,B. 當列表擴充時，push 操作效能可能較差,C. 無法儲存字串型態的資料,D. 需要導入外部模組才能使用,B,"""雖然 Python 列表好用，但它是動態陣列，當預設空間滿了需要自動擴充時，會涉及記憶體重新分配與複製，導致該次 Push 操作變慢。"""
3,medium,在 Python 列表實作範例中，`stack[-1]` 對應到堆疊的哪一個基本操作？,A. Pop,B. Peek,C. Push,D. Size,B,"""在 Python 中，索引 `[-1]` 代表選取列表的最後一個元素（即堆疊頂端），讀取它但不刪除它，完全符合 `Peek` 的定義。"""
3,medium,關於使用鏈結串列實作堆疊的效率，下列敘述何者正確？,A. 插入效率為 O(n)，刪除效率為 O(1),B. 插入與刪除操作效率皆穩定為 O(1),C. 插入與刪除操作效率皆為 O(n),D. 只有在堆疊為空時效率才高,B,"""鏈結串列在進行 Push 或 Pop 時，只需要改變頭部節點的指標指向即可，不需要搬移其餘資料，因此無論資料量多大，效率都穩定維持在 O(1)。"""
3,medium,鏈結串列實作堆疊時，每一個節點（Node）除了包含資料（value）外，還包含什麼？,A. 指向前一節點的指標,B. 指向下一節點的指標（next）,C. 堆疊目前的總大小,D. 堆疊的最大容量,B,"""鏈結串列的特性就是靠「指標」來串接資料，因此每個節點除了存資料本身，一定要有一個指標（next）用來告訴電腦下一個節點在哪裡。"""
3,medium,根據教材總結表，若要處理「大資料集」且要求「推入和彈出效率穩定」，最適合使用哪種實作？,A. Python 列表（List）,B. 鏈結串列（Linked List）,C. collections.deque,D. 遞迴函式,C,"""`collections.deque` 是雙向佇列，它的底層設計專門優化了兩端的增刪操作，因此在處理大量資料時，效能比一般列表更穩定且快速。"""
3,medium,在鏈結串列實作堆疊的缺點中，教材特別提到了哪一點？,A. 堆疊大小固定,B. 需額外空間存儲指標,C. 只能儲存整數,D. 擴充時效能極差,B,"""雖然鏈結串列很靈活，但它的代價是每個節點都需要多花一點記憶體空間來儲存「指向下一個節點的指標」，這就是額外的空間開銷。"""
3,medium,瀏覽器使用堆疊來記錄瀏覽頁面，當使用者按下「上一頁（後退）」時，是對堆疊進行了什麼操作？,A. Push（將當前頁面加入）,B. Peek（查看當前頁面）,C. Pop（移除並回到上一個頁面）,D. Clear（清空歷史紀錄）,C,"""當你按「上一頁」時，瀏覽器必須「移除」當前頁面並「退回」到前一個頁面，這種移除當前頂端狀態的行為就是 Pop。"""
3,medium,根據總結表，Python 列表實作與 `collections.deque` 的主要區別在於？,A. Python 列表需要額外模組，deque 不需要,B. Python 列表適合大資料集，deque 不適合,C. Python 列表無需額外模組，但重度擴充時較慢；deque 需導入模組但效率穩定,D. 兩者在效率上完全沒有差別,C,"""兩者的取捨在於：Python 列表勝在方便（不用 import），但大量擴充時效能較差；`deque` 勝在效能穩定，但需要額外載入模組。"""
3,medium,在教材的 `Stack` 類別封裝範例中，執行 `pop` 或 `peek` 前會先進行什麼檢查？,A. 檢查 `self.size` 是否超過上限,B. 檢查 `self.stack` 是否為空（isEmpty）,C. 檢查傳入的參數是否正確,D. 不做任何檢查,B,"""為了讓程式更健壯，標準的實作在嘗試取出或查看元素前，一定會先呼叫 `isEmpty()` 確認堆疊裡有東西，以免發生錯誤。"""
3,hard,在教材提供的鏈結串列實作中，當執行 `push(value)` 時，新節點 `new_node` 與原 `head` 的關係是如何建立的？,A. `new_node.next` 指向 `None`，`head` 指向 `new_node`,B. `head.next` 指向 `new_node`，然後更新 `head`,C. `new_node.next` 指向目前的 `head`，然後將 `head` 更新為 `new_node`,D. `new_node` 替換掉 `head`，原本的 `head` 被丟棄,C,"""為了把新節點放在最上面，我們必須先讓新節點的 `next` 抓住舊的 `head`（建立連結），然後再把 `head` 標籤貼到新節點上（更新頂端）。"""
3,hard,比較 Python 列表與鏈結串列實作堆疊，下列關於「記憶體與空間」的比較何者最符合教材敘述？,A. 列表因為需要儲存指標，所以比鏈結串列浪費空間,B. 鏈結串列雖然大小動態，但需額外空間存儲指標，是其缺點,C. 列表在擴充時不需要額外記憶體分配,D. 鏈結串列的節點不需要儲存資料，只儲存指標,B,"""這裡考的是空間成本的概念。鏈結串列雖然靈活，但每個節點都要多存一個指標（Reference），若資料量大且單個資料很小，指標佔用的額外空間比例就會很可觀。"""
3,hard,關於「Undo/Redo」功能的實作細節，若僅使用一個堆疊，會遇到什麼問題而無法完全滿足教材描述的功能？,A. 無法記錄最新的操作,B. 只能做撤銷（Undo），無法在撤銷後進行重做（Redo）,C. 堆疊會因為操作過多而溢位,D. 資料結構會變成佇列（Queue）,B,"""如果只有一個堆疊，當你執行「撤銷」把動作 Pop 出來後，該動作就消失了。為了能「重做」（Redo），必須把 Pop 出來的動作存到第二個堆疊暫存起來才行。"""
3,hard,在鏈結串列實作的 `pop()` 方法中，若堆疊非空，執行 `self.head = self.head.next` 這行程式碼的意義是什麼？,A. 刪除整個鏈結串列,B. 將堆疊頂端指標移動到下一個節點，邏輯上移除了原本的頂端節點,C. 將下一個節點的值複製到目前節點,D. 檢查堆疊是否為空,B,"""這行程式碼是移除節點的關鍵。它將頭部指標直接跳過第一個節點，指向第二個節點，這樣原本的第一個節點就脫離了鏈結，達到了刪除的效果。"""
