chapter,difficulty,question,option_A,option_B,option_C,option_D,answer,explanation
"2","easy","根據 2-1-1 定義，鏈結串列（Linked List）的元素在記憶體中是如何儲存的？","A. 儲存於連續的記憶體空間，類似陣列。","B. 元素以節點形式存在，分散儲存於記憶體各處，透過引用相連。","C. 所有元素必須儲存在同一個記憶體分頁（Page）中。","D. 元素儲存在堆疊（Stack）區段，且位址連續。","B","根據 2-1-1，鏈結串列元素「並非儲存於連續的記憶體空間中，而是以節點（Node）的形式存在」，且 2-1-4 指出「各個節點可以分散儲存在記憶體的各個位置」。選項 A、C、D 皆描述錯誤。"
"2","easy","根據 2-1-2，一個典型的鏈結串列節點（Node）通常包含哪兩部分資料？","A. 索引值（Index）與 資料（Data）。","B. 節點值（Data）與 指向下一個節點的引用（Next pointer）。","C. 前一個節點的位址（Prev）與 後一個節點的位址（Next）。","D. 節點的記憶體大小（Size）與 節點值（Data）。","B","根據 2-1-2，節點包含「節點值（Data/Val）」與「引用/指標（Next pointer/Reference）」。選項 A 的索引是陣列的概念；選項 C 是雙向鏈結串列才有的特徵，非典型基本節點；選項 D 未提及。"
"2","easy","依據 2-3-1，在單向鏈結串列中，尾節點（Tail）的 `next` 引用通常指向什麼？","A. 頭節點（Head）。","B. 鏈結串列的中間節點。","C. 空（None/Null）。","D. 自身的記憶體位址。","C","根據 2-3-1，單向鏈結串列的尾節點，其 `next` 引用會指向「空（None/Null）」，表示鏈結串列的終點。選項 A 是環狀鏈結串列的特徵。"
"2","easy","根據 2-5-1，鏈結串列相較於陣列的一個主要優點是什麼？","A. 支援隨機存取，可快速讀取任意元素。","B. 記憶體使用效率極高，完全沒有額外開銷。","C. 具有動態大小，可依需求彈性增減元素，避免大小限制。","D. 對 CPU 快取（Cache）非常友好。","C","根據 2-5-1，鏈結串列優點為「動態大小」，不需預先指定固定大小。選項 A、D 是陣列的優點（或鏈結串列的缺點）；選項 B 錯誤，鏈結串列有指標的額外記憶體開銷。"
"2","easy","依據 2-2-4，鏈結串列訪問特定位置（如第 i 個）節點的時間複雜度為何？","A. $O(1)$","B. $O(\log n)$","C. $O(n)$","D. $O(n^2)$","C","根據 2-2-4，鏈結串列無法直接跳轉，必須從頭「逐個向後走訪」，因此時間複雜度為 $O(n)$。"
"2","easy","根據 2-3-3，雙向鏈結串列（Doubly Linked List）的每個節點除了 `next` 引用外，還多了一個什麼引用？","A. `head` (指向頭節點)","B. `tail` (指向尾節點)","C. `prev` (指向前驅節點)","D. `root` (指向根節點)","C","根據 2-3-3，雙向鏈結串列每個節點額外包含一個「指向前驅節點（上一個節點）的引用（通常稱為 prev 或 LLINK）」。"
"2","easy","根據 2-2-2，在已知插入位置的情況下，鏈結串列插入新節點的時間複雜度為何？","A. $O(1)$","B. $O(n)$","C. $O(\log n)$","D. $O(n \log n)$","A","根據 2-2-2，在已知插入位置的情況下，插入操作只需改變兩個節點的引用，時間複雜度為 $O(1)$。"
"2","easy","依據 2-6-3，下列哪一個應用場景最適合使用「環狀鏈結串列」？","A. 網頁瀏覽器的上一頁/下一頁功能。","B. 作業系統的「時間片輪轉排程演算法」。","C. 實作先進後出的堆疊（Stack）。","D. 儲存瀏覽紀錄。","B"," 根據 2-6-3，環狀鏈結串列因其循環特性，常用於「時間片輪轉排程演算法」。選項 A、D 適合雙向鏈結串列；選項 C 適合單向鏈結串列。"
"2","easy","根據 2-3-2，環狀鏈結串列與單向鏈結串列的主要結構差異為何？","A. 環狀鏈結串列可以雙向遍歷。","B. 環狀鏈結串列的尾節點指向頭節點，形成環形。","C. 環狀鏈結串列沒有頭節點。","D. 環狀鏈結串列的節點不儲存資料。","B","根據 2-3-2，環狀鏈結串列的獨特之處在於「尾節點的引用會指向頭節點」，形成首尾相接的環形結構。"
"2","easy","根據 2-5-2，為什麼鏈結串列被認為是「快取不友好（Cache Unfriendly）」的？","A. 因為它佔用太多記憶體。","B. 因為它不支援隨機存取。","C. 因為節點分散儲存，不保證記憶體連續性，降低 Cache 命中率。","D. 因為它只能單向遍歷。","C","根據 2-5-2，由於節點在記憶體中是「分散儲存的，不保證記憶體連續性」，這會降低 CPU 快取命中率。"
