
chapter,difficulty,question,option_A,option_B,option_C,option_D,answer,explanation
"1","easy","根據 1-1-1 陣列的定義，下列關於陣列特性的描述何者正確？","選項A: 陣列是由不同型別元素組成的非線性資料結構。","選項B: 陣列的所有元素依序存放於連續記憶體中。","選項C: 陣列的存取效率通常為 O(n)。","選項D: 陣列的索引通常從 1 開始，以方便人類閱讀。","B","""正確答案為 B。根據 1-1-1，陣列是由『相同型別』元素組成的『線性』資料結構，且『所有元素依序存放於連續記憶體中』。選項 A 錯在不同型別與非線性；選項 C 錯在存取效率應為 O(1)；選項 D 錯在索引通常從 0 開始。"""
"1","easy","依據 1-1-2，下列何者不是使用陣列的主要理由？","選項A: 能夠統一管理大量資料，提升程式可讀性。","選項B: 利用索引存取，時間複雜度達到 O(1)。","選項C: 陣列結構可以動態無限擴充，不需要考慮記憶體限制。","選項D: 計算方便，例如可用迴圈遍歷計算平均值。","C","""正確答案為 C。根據 1-1-2，使用陣列的理由包括統一管理大量資料、快速存取元素 (O(1)) 以及計算方便。選項 C 的敘述並未在 1-1-2 中被列為使用理由，且 1-8-2 提到陣列的缺點是大小固定（傳統陣列概念）。"""
"1","easy","根據 1-4-1，陣列的元素在記憶體中是如何存放的？","選項A: 隨機散落在記憶體的不同區域。","選項B: 透過鏈結串列的方式連接不連續的記憶體區塊。","選項C: 依序存放於連續的記憶體區域。","選項D: 依據雜湊函數存放在雜湊表中。","C","""正確答案為 C。根據 1-4-1，陣列元素『存放於記憶體連續區域』。這使得只需知道起始位址與元素大小即可計算位置。"""
"1","easy","依據 1-2-1 與 1-2-3，在 Python 語言中，通常使用哪種資料型態來模擬一維陣列？","選項A: Dictionary","選項B: Tuple","選項C: Set","選項D: List (串列)","D","""正確答案為 D。根據 1-2-1，『在 Python 中可用串列模擬一維陣列』；1-2-3 提到 Python 常用 list 當作動態陣列。"""
"1","easy","根據 1-7-1，陣列在「讀取元素」上的時間複雜度為何？","選項A: O(1)","選項B: O(n)","選項C: O(log n)","選項D: O(n^2)","A","""正確答案為 A。根據 1-7-1，陣列存取效率高，因為元素位址可直接計算，因此存取任意索引皆為 O(1)。"""
"1","easy","根據 1-3-4，若要使用「二分搜尋」來加快搜尋效率，陣列必須滿足什麼條件？","選項A: 陣列必須是二維的。","選項B: 陣列必須包含字串。","選項C: 陣列必須是已排序的 (Ordered/Sorted)。","選項D: 陣列必須使用 NumPy 建立。","C","""正確答案為 C。根據 1-3-4，『有序陣列可利用二分搜尋加快搜尋效率』。若未排序則需使用線性搜尋。"""
"1","easy","根據 1-1-1 的譬喻，教材將陣列想像成什麼？","選項A: 一串串在一起的珍珠項鍊。","選項B: 一排盒子，每個盒子內有資料，位置固定且編號唯一。","選項C: 一棵有很多分岔的樹。","選項D: 一個堆滿盤子的堆疊。","B","""正確答案為 B。根據 1-1-1，教材提到『可以把陣列想像成一排盒子，每個盒子內有資料，位置固定且編號唯一』。"""
"1","easy","依據 1-8-2，下列何者被列為陣列的缺點？","選項A: 結構太過複雜，難以實作。","選項B: 不支援隨機存取。","選項C: 插入和刪除效率低，需搬移大量元素。","選項D: 無法用於儲存整數資料。","C","""正確答案為 C。根據 1-8-2，陣列的缺點包括『陣列大小固定』以及『插入和刪除效率低』，因為需搬移元素。選項 A、B 都是陣列的優點（1-8-1）。"""
"1","easy","根據 1-5-2，二維陣列的結構類似於下列何者？","選項A: 線狀結構。","選項B: 表格結構，由行與列組成。","選項C: 立體結構，如 3D 影像。","選項D: 樹狀結構。","B","""正確答案為 B。根據 1-5-2，二維陣列是『類似表格結構，行與列的資料組合』。"""
"1","easy","依據 1-3-2，「遍歷」陣列的意思為何？","選項A: 只讀取陣列的第一個元素。","選項B: 隨機選取陣列中的一個元素。","選項C: 將陣列中的元素全部刪除。","選項D: 逐一處理陣列內的所有元素。","D","""正確答案為 D。根據 1-3-2，遍歷是指『逐一處理陣列內的所有元素』。"""
"1","medium","根據 1-3-3 關於陣列插入操作的描述，若在陣列的中間位置插入一個新元素，下列敘述何者正確？","選項A: 該位置原本的元素會被覆蓋，不需要移動其他元素。","選項B: 該位置原本的元素與後續所有元素都必須依序向後移動，以騰出空間。","選項C: 該位置原本的元素會自動移到陣列的最後面。","選項D: 陣列會自動建立一個新的記憶體區塊來存放新元素，不影響原陣列。","B","""正確答案為 B。根據 1-3-3，『若在中間插入，需將後續元素依序後移』。這是為了維持陣列記憶體的連續性。"""
"1","medium","依據 1-4-2 的位址計算公式 $A[i] = base\_address + size\_of\_element 	imes (i - lower\_bound)$，若忽略 lower_bound (設為0)，計算特定索引位址時主要依賴哪兩個參數？","選項A: 陣列的總長度與元素大小。","選項B: 起始位址與元素大小。","選項C: 起始位址與陣列的總容量。","選項D: 元素的值與元素大小。","B","""正確答案為 B。根據 1-4-2，公式中包含 base (起始位址) 與 size (元素大小)。陣列總長度或元素內容(值)並不直接參與個別元素的位址計算。"""
"1","medium","根據 1-6-1 的 Python 語法範例，若有一個二維陣列 `matrix = [[1, 2], [3, 4]]`，執行 `print(matrix[1][0])` 的結果為何？","選項A: 1","選項B: 2","選項C: 3","選項D: 4","C","""正確答案為 C。根據 1-6-1 範例邏輯，`matrix[1]` 取出第二個子串列 `[3, 4]`，接著 `[0]` 取出該子串列的第一個元素，即 3。"""
"1","medium","根據 1-3-1 的 Python 範例，使用負索引 `arr[-1]` 代表什麼意義？","選項A: 存取陣列的第一個元素。","選項B: 存取陣列中數值為 -1 的元素。","選項C: 導致程式錯誤，因為索引不能為負。","選項D: 存取陣列的最後一個元素。","D","""正確答案為 D。根據 1-3-1 範例註解，`arr[-1]` 代表從尾端開始，即『最後一個元素』。"""
"1","medium","參考 1-5 的分類，若你需要處理「深度學習中的張量 (Tensor)」或科學模擬數據，最適合使用哪種陣列類型？","選項A: 一維陣列","選項B: 二維陣列","選項C: 三維陣列","選項D: n 維陣列","D","""正確答案為 D。根據 1-5-4，『當資料維度更高時，可使用 n 維陣列，例如科學模擬、深度學習中的張量』。"""
"1","medium","根據 1-3-4，關於線性搜尋與二分搜尋的比較，下列何者正確？","選項A: 線性搜尋不需要陣列排序，時間複雜度為 O(n)。","選項B: 二分搜尋不需要陣列排序，時間複雜度為 O(log n)。","選項C: 線性搜尋效率總是比二分搜尋好，因為它檢查每個元素。","選項D: 二分搜尋可以用於任何類型的陣列，無論是否排序。","A","""正確答案為 A。根據 1-3-4 與 1-7-3，線性搜尋遍歷整個陣列 (O(n)) 且不需要排序；二分搜尋效率較高 (O(log n)) 但『限定於排序陣列』。"""
"1","medium","根據 1-2-3 與 1-6-2，為什麼在高效能處理大量數據時，會推薦使用 NumPy 的 ndarray 而非 Python 原生的 list？","選項A: 因為 Python list 無法儲存整數以外的資料。","選項B: 因為 NumPy 支援多維矩陣運算與向量化處理，且記憶體配置更適合科學計算。","選項C: 因為 Python list 的索引必須從 1 開始，不符合科學計算習慣。","選項D: 因為 NumPy 不需要安裝即可直接在 Python 中使用。","B","""正確答案為 B。根據 1-2-3，list 具彈性但若需高效能會用 NumPy；1-6-2 提到 NumPy 支援多維陣列高效計算。選項 A 錯誤，list 可存任意型別；選項 C 錯誤，list 索引從 0 開始。"""
"1","medium","根據 1-3-3，當執行陣列刪除操作 (remove) 時，為了維持結構的連續性，需要進行什麼動作？","選項A: 將被刪除位置設為 0，不移動其他元素。","選項B: 將被刪除位置標記為空，不移動其他元素。","選項C: 將被刪除位置後續的所有元素依序前移以補位。","選項D: 將陣列最後一個元素直接移到被刪除的位置。","C","""正確答案為 C。根據 1-3-3，『刪除元素後，須將後續元素依序前移以補位』。"""
"1","medium","依據 1-2-2，在 Python 中如何模擬「三維陣列」？","選項A: 使用三個獨立的變數名稱。","選項B: 使用 `matrix[x, y, z]` 的特殊語法直接宣告。","選項C: 使用「串列嵌套串列」的方式，例如 `[[[...]]]`。","選項D: Python 無法模擬三維陣列，必須強制使用 C++。","C","""正確答案為 C。根據 1-2-2，Python 中可以用『串列嵌套串列』的方式模擬多維陣列，範例中展示了 `cube = [[[...], [...]], ...]` 的結構。"""
"1","medium","根據 1-3-2，Python 提供了哪一個功能可同時取得「索引」與「元素」，提升程式可讀性？","選項A: `range()`","選項B: `enumerate`","選項C: `bisect`","選項D: `append`","B","""正確答案為 B。根據 1-3-2，『Python 也支援 enumerate，可同時取得索引與元素，提升程式可讀性』。"""
